Country	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Guyana	2.1	2.2800000000000002	2.46	2.64	2.8200000000000003	3.0	3.08	3.16	3.2399999999999998	3.32	3.4	3.42	3.44	3.46	3.48	3.5	3.68	3.8600000000000003	4.04	4.220000000000001	4.4	4.6	4.8	5.1	5.3	5.4	5.6	5.7	5.9
Haiti	14.9	14.540000000000001	14.18	13.82	13.459999999999999	13.1	13.459999999999999	13.82	14.18	14.540000000000001	14.9	14.82	14.74	14.66	14.58	14.5	14.6	14.7	14.8	14.9	15.0	15.8	16.3	17.0	17.5	17.7	17.9	18.2	18.4
Honduras	15.9	16.42	16.94	17.46	17.98	18.5	19.14	19.78	20.419999999999998	21.06	21.7	22.82	23.94	25.060000000000002	26.18	27.3	28.34	29.38	30.42	31.46	32.5	33.8	35.2	36.2	37.3	38.7	40.2	42.1	43.7
Hong Kong	153.9	162.96	172.02	181.07999999999998	190.14	199.2	204.7	210.2	215.7	221.2	226.7	237.12	247.54	257.96	268.38	278.8	290.62	302.44	314.26	326.08	337.9	354.2	360.2	371.4	381.6	390.8	399.3	414.6	427.1
Hungary	158.3	158.3	158.3	158.3	158.3	158.3	163.32000000000002	168.34	173.36	178.38	183.4	192.04	200.68	209.32	217.95999999999998	226.6	226.1	225.6	225.1	224.6	224.1	227.8	224.1	228.7	238.4	246.8	252.5	262.9	275.9
Iceland	7.7	7.72	7.74	7.76	7.78	7.8	8.2	8.6	9.0	9.4	9.8	10.26	10.72	11.18	11.64	12.1	12.24	12.38	12.52	12.66	12.8	13.0	13.2	13.7	14.0	14.6	15.7	16.4	17.2
India	1664.2	1757.8	1851.3999999999999	1945.0	2038.6	2132.2	2278.48	2424.7599999999998	2571.04	2717.3199999999997	2863.6	3073.7799999999997	3283.96	3494.14	3704.3199999999997	3914.5	4230.42	4546.34	4862.26	5178.18	5494.1	5782.0	6097.5	6486.9	6967.6	7524.8	8139.5	8722.9	9332.0
Indonesia	839.2	908.22	977.24	1046.26	1115.28	1184.3	1193.08	1201.86	1210.64	1219.42	1228.2	1292.0	1355.8	1419.6	1483.4	1547.2	1646.82	1746.44	1846.06	1945.6799999999998	2045.3	2171.5	2302.5	2430.4	2552.1	2676.5	2811.3	2953.7	3106.5
Iran	640.6	663.1800000000001	685.76	708.34	730.92	753.5	776.54	799.58	822.62	845.6600000000001	868.7	914.9000000000001	961.1	1007.3000000000001	1053.5	1099.7	1147.3600000000001	1195.02	1242.68	1290.34	1338.0	1373.4	1271.1	1268.6	1327.0	1309.5	1484.9	1540.7	1540.7
Iraq	201.3	187.56	173.82	160.07999999999998	146.34	132.6	163.48	194.36	225.24	256.12	287.0	288.46	289.92	291.38	292.84000000000003	294.3	313.68	333.06	352.44	371.82	391.2	420.8	479.4	515.8	519.4	532.3	604.5	594.4	598.2
Ireland	76.1	79.97999999999999	83.86	87.74	91.62	95.5	106.38	117.26	128.14	139.02	149.9	158.68	167.46	176.24	185.02	193.8	194.72	195.64000000000001	196.56	197.48000000000002	198.4	205.8	206.2	208.9	227.3	284.4	298.6	320.2	341.5
Israel	96.6	104.02	111.44	118.85999999999999	126.27999999999999	133.7	140.66	147.62	154.57999999999998	161.54	168.5	171.68	174.86	178.04	181.22	184.4	192.76	201.12	209.48	217.83999999999997	226.2	237.4	242.4	252.5	262.3	269.0	279.8	289.5	299.0
Italy	1766.3	1789.94	1813.58	1837.22	1860.86	1884.5	1923.68	1962.8600000000001	2002.04	2041.22	2080.4	2100.3	2120.2000000000003	2140.1	2160.0	2179.9	2173.1	2166.3	2159.5	2152.7000000000003	2145.9	2158.3	2097.4	2061.2	2063.5	2082.6	2105.9	2141.4	2159.8
Jamaica	17.7	18.439999999999998	19.18	19.919999999999998	20.66	21.4	21.34	21.28	21.22	21.16	21.1	21.5	21.900000000000002	22.3	22.700000000000003	23.1	22.98	22.86	22.740000000000002	22.62	22.5	22.9	22.8	22.9	23.1	23.3	23.6	23.8	24.3
Japan	3778.1	3835.96	3893.82	3951.68	4009.54	4067.4	4113.2	4159.0	4204.8	4250.599999999999	4296.4	4348.34	4400.28	4452.22	4504.16	4556.1	4560.58	4565.06	4569.54	4574.02	4578.5	4573.2	4641.6	4734.4	4752.1	4810.3	4839.6	4932.9	4971.8
